Age,Income,LoanAmount,CreditScore,InterestRate,LoanTerm,Education_High School,Education_Master's,Education_PhD,EmploymentType_Part-time,EmploymentType_Self-employed,EmploymentType_Unemployed,MaritalStatus_Married,MaritalStatus_Single,LoanPurpose_Business,LoanPurpose_Education,LoanPurpose_Home,LoanPurpose_Other,Default
53.0,24427.0,245815.0,382.0,4.3,60.0,0,0,0,0,0,1,0,0,0,0,0,0,0
41.0,55534.0,67675.0,846.0,9.8,24.0,1,0,0,0,0,1,0,0,0,0,0,0,0
50.0,24832.0,155179.0,781.0,20.94,12.0,0,0,0,0,0,1,0,0,0,0,0,0,1
61.0,97582.0,152822.0,522.0,21.24,12.0,0,0,0,0,0,1,0,0,0,0,0,0,1
67.0,54360.0,190930.0,701.0,18.31,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0,24494.0,224539.0,536.0,15.28,24.0,0,0,0,0,0,0,1,0,0,0,0,0,1
48.0,149180.0,64941.0,490.0,7.34,36.0,0,0,0,0,0,1,0,0,0,0,0,0,1
67.0,24546.0,102352.0,430.0,17.68,12.0,0,0,0,0,0,0,0,1,0,0,0,0,1
51.0,117080.0,143411.0,561.0,6.45,24.0,0,0,0,0,0,0,0,1,0,0,0,0,0
21.0,24900.0,215319.0,722.0,4.27,24.0,0,0,0,0,0,0,1,0,0,0,0,0,1
28.0,28462.0,232347.0,425.0,22.84,60.0,1,0,0,0,0,1,0,1,0,0,0,0,1
40.0,85621.0,128132.0,593.0,11.15,36.0,0,0,0,0,0,0,0,1,0,0,0,0,0
56.0,130897.0,223197.0,315.0,20.1,24.0,1,0,0,0,0,0,0,1,0,0,0,0,0
60.0,20575.0,204045.0,813.0,7.54,12.0,1,0,0,1,0,0,0,0,0,0,0,0,1
33.0,120132.0,86295.0,363.0,22.09,48.0,1,0,0,1,0,0,0,0,0,0,0,0,1
32.0,82098.0,109008.0,387.0,5.05,24.0,0,0,0,0,0,1,0,1,0,0,0,0,0
28.0,87082.0,107860.0,655.0,6.85,60.0,0,0,0,0,0,1,0,0,0,0,0,0,1
19.0,94904.0,166519.0,623.0,16.73,12.0,1,0,0,0,0,1,0,1,0,0,0,0,1
52.0,16693.0,193562.0,348.0,16.34,60.0,0,0,0,0,0,1,1,0,0,0,0,0,1
40.0,123085.0,81178.0,335.0,3.66,12.0,0,0,0,0,0,0,0,1,0,0,0,0,1
47.0,68997.0,177413.0,728.0,15.73,36.0,1,0,0,0,0,0,0,0,0,0,0,0,1
34.0,140456.0,221482.0,401.0,7.16,24.0,1,0,0,1,0,0,0,1,0,0,0,0,1
35.0,80467.0,93660.0,766.0,14.47,24.0,0,0,0,0,0,0,1,0,0,0,0,0,1
22.0,60512.0,167561.0,503.0,19.98,12.0,0,0,0,1,0,0,1,0,0,0,0,0,1
58.0,148074.0,205235.0,569.0,3.58,24.0,0,0,0,1,0,0,0,1,0,0,0,0,0
34.0,129024.0,149535.0,527.0,17.48,48.0,0,0,0,0,0,1,0,0,0,0,0,0,1
55.0,40276.0,210336.0,840.0,14.24,12.0,0,0,0,1,0,0,0,1,0,0,0,0,1
66.0,96704.0,120286.0,652.0,9.21,24.0,1,0,0,1,0,0,0,0,0,0,0,0,0
27.0,78275.0,247183.0,642.0,12.17,36.0,0,0,0,0,0,0,0,0,0,0,0,0,1
62.0,21568.0,217987.0,848.0,6.53,12.0,1,0,0,0,0,0,0,1,0,0,0,0,0
27.0,140395.0,59315.0,564.0,5.62,24.0,0,0,0,1,0,0,0,1,0,0,0,0,0
28.0,55635.0,191885.0,527.0,23.96,60.0,0,0,0,0,0,1,0,1,0,0,0,0,1
40.0,62865.0,142304.0,392.0,6.47,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0
35.0,106616.0,131371.0,484.0,9.2,36.0,0,0,0,0,0,0,1,0,0,0,0,0,0
29.0,100119.0,204216.0,391.0,21.86,60.0,0,0,0,0,0,1,0,0,0,0,0,0,0
63.0,135958.0,91352.0,770.0,14.04,60.0,0,0,0,0,0,0,1,0,0,0,0,0,0
62.0,23811.0,83487.0,565.0,15.53,60.0,0,0,0,1,0,0,0,1,0,0,0,0,1
53.0,30989.0,206806.0,673.0,2.99,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.0,26054.0,93184.0,356.0,22.19,60.0,1,0,0,0,0,0,0,1,0,0,0,0,1
60.0,102944.0,144580.0,688.0,16.63,36.0,0,0,0,0,0,0,1,0,0,0,0,0,1
41.0,118830.0,176414.0,720.0,10.39,36.0,0,0,0,0,0,0,0,1,0,0,0,0,0
54.0,146826.0,53940.0,537.0,16.03,36.0,0,0,0,0,0,1,1,0,0,0,0,0,0
27.0,148610.0,169346.0,578.0,12.24,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.0,121777.0,133902.0,315.0,9.68,36.0,0,0,0,0,0,1,0,1,0,0,0,0,0
29.0,54056.0,33436.0,730.0,21.67,36.0,0,0,0,0,0,1,1,0,0,0,0,0,1
68.0,32480.0,46478.0,402.0,24.02,24.0,0,0,0,0,0,1,1,0,0,0,0,0,0
50.0,54980.0,83621.0,598.0,16.98,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0
59.0,33572.0,159838.0,710.0,4.55,48.0,0,0,0,0,0,0,0,1,0,0,0,0,0
23.0,99004.0,183592.0,623.0,16.21,48.0,1,0,0,0,0,1,0,1,0,0,0,0,0
18.0,16397.0,221761.0,477.0,16.64,48.0,0,0,0,0,0,0,1,0,0,0,0,0,0
42.0,139264.0,159969.0,787.0,20.02,48.0,0,0,0,0,0,1,0,0,0,0,0,0,1
62.0,133947.0,126115.0,327.0,14.57,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,115853.0,96154.0,693.0,11.36,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.0,22247.0,176848.0,497.0,19.69,36.0,0,0,0,0,0,0,1,0,0,0,0,0,0
29.0,68923.0,103810.0,379.0,22.84,12.0,1,0,0,1,0,0,0,1,0,0,0,0,1
22.0,128473.0,104194.0,338.0,14.92,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.0,66994.0,37131.0,814.0,14.98,48.0,1,0,0,1,0,0,0,1,0,0,0,0,0
30.0,110986.0,21929.0,517.0,17.02,48.0,0,0,0,0,0,0,0,0,0,0,0,0,1
50.0,32034.0,53161.0,820.0,24.12,60.0,0,0,0,0,0,0,1,0,0,0,0,0,0
67.0,107093.0,9769.0,689.0,14.81,12.0,0,0,0,0,0,0,0,1,0,0,0,0,0
51.0,72596.0,205092.0,449.0,18.11,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0
35.0,95000.0,51158.0,415.0,6.78,36.0,0,0,0,0,0,1,0,0,0,0,0,0,1
49.0,60001.0,58428.0,600.0,19.94,36.0,0,0,0,0,0,0,0,1,0,0,0,0,0
18.0,108995.0,20798.0,791.0,24.21,60.0,0,0,0,0,0,1,1,0,0,0,0,0,0
27.0,97005.0,205838.0,494.0,19.41,60.0,0,0,0,1,0,0,0,0,0,0,0,0,0
51.0,26231.0,99614.0,325.0,18.87,24.0,1,0,0,0,0,1,1,0,0,0,0,0,1
53.0,38470.0,141376.0,622.0,19.92,12.0,0,0,0,0,0,0,0,0,0,0,0,0,1
48.0,107101.0,116018.0,613.0,22.8,24.0,1,0,0,1,0,0,0,0,0,0,0,0,1
26.0,33811.0,83566.0,332.0,24.78,36.0,0,0,0,0,0,0,0,1,0,0,0,0,1
25.0,75962.0,164143.0,842.0,12.02,48.0,0,0,0,0,0,0,0,0,0,0,0,0,1
59.0,32651.0,45334.0,320.0,6.68,60.0,0,0,0,0,0,1,1,0,0,0,0,0,0
22.0,132727.0,62622.0,675.0,24.87,60.0,0,0,0,0,0,1,0,1,0,0,0,0,0
62.0,90476.0,53093.0,659.0,18.81,12.0,0,0,0,1,0,0,1,0,0,0,0,0,1
33.0,120191.0,171300.0,556.0,21.43,24.0,1,0,0,1,0,0,1,0,0,0,0,0,0
22.0,142085.0,207093.0,469.0,9.28,36.0,1,0,0,0,0,1,0,0,0,0,0,0,1
45.0,67955.0,196808.0,806.0,8.4,12.0,0,0,0,0,0,1,1,0,0,0,0,0,0
49.0,136941.0,137609.0,371.0,19.26,48.0,1,0,0,0,0,0,1,0,0,0,0,0,1
36.0,62933.0,15677.0,729.0,19.64,60.0,1,0,0,1,0,0,0,1,0,0,0,0,0
63.0,34897.0,39865.0,524.0,10.35,48.0,0,0,0,0,0,0,0,1,0,0,0,0,0
34.0,132168.0,189955.0,710.0,18.91,36.0,0,0,0,0,0,0,0,1,0,0,0,0,0
34.0,149413.0,162436.0,593.0,3.8,48.0,1,0,0,0,0,0,0,1,0,0,0,0,0
25.0,72849.0,119479.0,736.0,2.43,60.0,0,0,0,0,0,1,0,1,0,0,0,0,1
43.0,54987.0,115032.0,449.0,2.07,48.0,1,0,0,0,0,0,1,0,0,0,0,0,1
68.0,71563.0,8354.0,665.0,5.82,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0
44.0,149739.0,177725.0,789.0,3.63,60.0,0,0,0,0,0,0,0,1,0,0,0,0,0
56.0,56160.0,154376.0,586.0,12.54,36.0,0,0,0,0,0,0,1,0,0,0,0,0,0
51.0,35146.0,64442.0,586.0,8.8,24.0,0,0,0,0,0,0,1,0,0,0,0,0,1
38.0,37626.0,104946.0,529.0,19.6,60.0,0,0,0,1,0,0,1,0,0,0,0,0,1
57.0,51473.0,45769.0,742.0,9.43,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,55160.0,19025.0,753.0,10.16,12.0,0,0,0,0,0,1,1,0,0,0,0,0,1
34.0,72894.0,35730.0,462.0,6.24,12.0,0,0,0,0,0,1,0,1,0,0,0,0,1
28.0,73391.0,80467.0,482.0,3.51,12.0,0,0,0,1,0,0,0,0,0,0,0,0,0
48.0,83469.0,230412.0,497.0,22.11,24.0,0,0,0,0,0,0,0,1,0,0,0,0,1
29.0,18841.0,110283.0,515.0,23.64,60.0,0,0,0,0,0,1,0,1,0,0,0,0,1
24.0,34451.0,225995.0,581.0,24.07,48.0,0,0,0,0,0,1,0,1,0,0,0,0,1
46.0,141095.0,121355.0,393.0,13.22,60.0,0,0,0,0,0,0,0,1,0,0,0,0,0
52.0,148396.0,38258.0,680.0,11.03,24.0,0,0,0,1,0,0,0,0,0,0,0,0,0
23.0,23281.0,191292.0,674.0,16.18,36.0,0,0,0,0,0,1,0,1,0,0,0,0,1
31.0,66685.0,213168.0,528.0,13.14,60.0,0,0,0,0,0,0,0,1,0,0,0,0,1
23.0,116878.0,154673.0,394.0,13.29,36.0,0,0,0,0,0,0,0,1,0,0,0,0,0
42.0,102214.0,181205.0,439.0,11.56,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0
