Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
61.0,63957,83570,756,16,1,15.36,36,0.32,Bachelor's,Part-time,Divorced,Yes,Yes,Other,Yes,0
56.0,115505,61688,343,55,4,13.65,36,0.51,Bachelor's,Unemployed,Married,Yes,Yes,Other,Yes,1
27.0,32572,91697,834,58,3,4.5,12,0.83,PhD,Self-employed,Single,No,Yes,Education,Yes,1
42.0,44585,117384,446,48,3,8.02,60,0.58,PhD,Unemployed,Married,Yes,Yes,Other,Yes,1
43.0,22072,216801,536,91,3,14.84,24,0.46,High School,Unemployed,Single,No,No,Business,No,1
19.0,58394,12018,451,44,2,12.59,24,0.56,PhD,Self-employed,Divorced,No,Yes,Home,No,0
51.0,92309,11827,680,100,4,23.04,60,0.15,PhD,Full-time,Single,No,Yes,Business,Yes,0
49.0,131730,193810,565,111,4,12.19,48,0.72,Bachelor's,Self-employed,Divorced,Yes,Yes,Home,No,1
43.0,140363,197996,385,95,3,5.12,60,0.73,Master's,Part-time,Married,No,Yes,Business,Yes,0
65.0,68001,145770,816,80,2,14.48,60,0.72,PhD,Full-time,Divorced,No,Yes,Home,No,0
28.0,52914,205615,744,39,3,2.55,60,0.89,PhD,Full-time,Single,No,Yes,Other,No,0
54.0,80108,195127,422,83,4,17.2,60,0.2,High School,Part-time,Divorced,No,Yes,Home,Yes,0
40.0,35600,27922,497,59,3,18.8,24,0.29,Bachelor's,Part-time,Married,Yes,Yes,Education,Yes,0
27.0,25264,100884,591,52,2,16.61,60,0.37,Master's,Part-time,Single,No,No,Home,Yes,1
64.0,33880,150394,829,6,2,4.04,36,0.55,PhD,Unemployed,Married,No,No,Home,Yes,1
38.0,134748,194763,315,19,2,17.42,12,0.58,Bachelor's,Full-time,Married,Yes,Yes,Home,No,1
33.0,97524,153153,500,1,3,7.36,36,0.56,PhD,Unemployed,Divorced,Yes,No,Auto,Yes,1
41.0,47435,180477,578,13,4,18.27,36,0.13,High School,Self-employed,Married,Yes,No,Other,No,1
36.0,23679,180563,385,14,1,10.75,48,0.8,Master's,Unemployed,Married,No,Yes,Other,No,0
24.0,54886,188618,631,7,4,4.5,60,0.6,Master's,Self-employed,Single,No,Yes,Other,Yes,1
36.0,89725,135320,651,11,1,11.33,48,0.47,Bachelor's,Unemployed,Married,Yes,Yes,Home,Yes,1
40.0,114358,167143,431,69,3,15.09,36,0.16,PhD,Part-time,Single,Yes,No,Home,Yes,0
38.0,25092,47208,822,44,1,17.45,60,0.33,Master's,Self-employed,Married,No,Yes,Home,No,0
64.0,118789,204103,664,78,1,10.11,48,0.38,Bachelor's,Unemployed,Single,No,No,Other,Yes,0
35.0,47565,99144,510,104,4,19.89,60,0.24,PhD,Self-employed,Divorced,No,No,Other,No,1
35.0,109890,168799,399,106,3,3.94,60,0.22,High School,Part-time,Divorced,Yes,No,Auto,No,0
42.0,44003,122768,612,72,2,5.73,48,0.27,Master's,Full-time,Divorced,No,No,Auto,Yes,0
57.0,139252,122982,779,64,2,22.93,60,0.22,Master's,Full-time,Divorced,No,Yes,Auto,No,0
44.0,98678,93338,708,12,3,10.36,48,0.66,Bachelor's,Self-employed,Divorced,Yes,Yes,Home,Yes,1
43.0,146492,233158,779,118,1,24.71,36,0.63,Master's,Part-time,Single,No,No,Education,No,0
27.0,142930,224816,437,8,4,2.25,12,0.17,Bachelor's,Self-employed,Single,Yes,Yes,Home,Yes,1
26.0,40885,237618,305,68,4,5.15,24,0.49,Bachelor's,Full-time,Divorced,No,No,Business,No,1
45.0,88670,32226,614,101,3,10.31,12,0.2,High School,Full-time,Single,No,No,Auto,No,0
32.0,93505,225126,567,77,2,17.66,36,0.8,High School,Part-time,Married,No,No,Business,No,1
53.0,24427,245815,382,82,4,4.3,60,0.53,PhD,Unemployed,Divorced,Yes,No,Home,Yes,0
41.0,55534,67675,846,33,1,9.8,24,0.7,High School,Unemployed,Divorced,No,Yes,Other,No,0
50.0,24832,155179,781,55,3,20.94,12,0.83,Bachelor's,Unemployed,Divorced,Yes,No,Education,Yes,1
61.0,97582,152822,522,98,4,21.24,12,0.12,Master's,Unemployed,Divorced,No,No,Business,No,1
67.0,54360,190930,701,35,3,18.31,60,0.76,PhD,Full-time,Divorced,Yes,No,Other,No,0
20.0,24494,224539,536,41,2,15.28,24,0.67,Bachelor's,Full-time,Married,No,Yes,Auto,No,1
48.0,149180,64941,490,104,4,7.34,36,0.64,Bachelor's,Unemployed,Divorced,No,Yes,Other,No,1
67.0,24546,102352,430,39,3,17.68,12,0.43,Bachelor's,Self-employed,Single,Yes,Yes,Education,No,1
51.0,117080,143411,561,41,4,6.45,24,0.5,Bachelor's,Self-employed,Single,Yes,No,Business,Yes,0
21.0,24900,215319,722,38,3,4.27,24,0.79,Bachelor's,Self-employed,Married,No,No,Other,Yes,1
28.0,28462,232347,425,84,4,22.84,60,0.53,High School,Unemployed,Single,No,Yes,Education,No,1
40.0,85621,128132,593,34,3,11.15,36,0.71,Master's,Full-time,Single,Yes,No,Business,No,0
56.0,130897,223197,315,7,3,20.1,24,0.1,High School,Self-employed,Single,No,Yes,Business,No,0
60.0,20575,204045,813,119,3,7.54,12,0.32,High School,Part-time,Divorced,Yes,No,Other,Yes,1
33.0,120132,86295,363,109,2,22.09,48,0.55,High School,Part-time,Divorced,No,No,Education,Yes,1
32.0,82098,109008,387,77,2,5.05,24,0.41,Bachelor's,Unemployed,Single,No,No,Business,No,0
28.0,87082,107860,655,22,2,6.85,60,0.54,PhD,Unemployed,Divorced,No,No,Home,No,1
19.0,94904,166519,623,80,2,16.73,12,0.67,High School,Unemployed,Single,Yes,No,Other,No,1
52.0,16693,193562,348,30,4,16.34,60,0.1,Master's,Unemployed,Married,No,Yes,Business,Yes,1
40.0,123085,81178,335,49,1,3.66,12,0.2,PhD,Self-employed,Single,No,No,Auto,No,1
47.0,68997,177413,728,40,4,15.73,36,0.22,High School,Self-employed,Divorced,Yes,Yes,Business,No,1
34.0,140456,221482,401,44,2,7.16,24,0.38,High School,Part-time,Single,No,No,Business,No,1
35.0,80467,93660,766,102,1,14.47,24,0.34,Bachelor's,Full-time,Married,No,Yes,Other,No,1
22.0,60512,167561,503,78,4,19.98,12,0.44,Master's,Part-time,Married,Yes,Yes,Education,No,1
58.0,148074,205235,569,105,2,3.58,24,0.85,Master's,Part-time,Single,No,No,Education,Yes,0
34.0,129024,149535,527,63,4,17.48,48,0.54,PhD,Unemployed,Divorced,Yes,No,Education,No,1
55.0,40276,210336,840,26,4,14.24,12,0.8,Bachelor's,Part-time,Single,No,No,Education,No,1
66.0,96704,120286,652,38,2,9.21,24,0.39,High School,Part-time,Divorced,No,Yes,Education,Yes,0
27.0,78275,247183,642,64,3,12.17,36,0.2,PhD,Full-time,Divorced,Yes,No,Home,No,1
62.0,21568,217987,848,71,4,6.53,12,0.75,High School,Full-time,Single,Yes,No,Home,Yes,0
27.0,140395,59315,564,33,4,5.62,24,0.7,Master's,Part-time,Single,Yes,Yes,Auto,Yes,0
28.0,55635,191885,527,45,1,23.96,60,0.29,Bachelor's,Unemployed,Single,Yes,No,Auto,No,1
40.0,62865,142304,392,50,3,6.47,60,0.55,High School,Full-time,Divorced,Yes,No,Auto,No,0
35.0,106616,131371,484,64,2,9.2,36,0.35,Master's,Self-employed,Married,Yes,Yes,Other,No,0
29.0,100119,204216,391,51,4,21.86,60,0.14,Master's,Unemployed,Divorced,No,No,Other,No,0
63.0,135958,91352,770,14,1,14.04,60,0.77,PhD,Full-time,Married,Yes,No,Auto,Yes,0
62.0,23811,83487,565,7,4,15.53,60,0.26,Master's,Part-time,Single,Yes,No,Business,No,1
53.0,30989,206806,673,11,1,2.99,36,0.65,PhD,Full-time,Divorced,No,Yes,Home,No,0
27.0,26054,93184,356,85,4,22.19,60,0.32,High School,Full-time,Single,No,Yes,Home,Yes,1
60.0,102944,144580,688,14,3,16.63,36,0.75,Master's,Full-time,Married,Yes,No,Education,Yes,1
41.0,118830,176414,720,16,2,10.39,36,0.6,PhD,Self-employed,Single,Yes,No,Other,No,0
54.0,146826,53940,537,72,3,16.03,36,0.34,Bachelor's,Unemployed,Married,Yes,Yes,Auto,No,0
27.0,148610,169346,578,14,1,12.24,36,0.52,PhD,Full-time,Divorced,Yes,Yes,Business,No,0
55.0,121777,133902,315,74,2,9.68,36,0.36,PhD,Unemployed,Single,Yes,No,Education,Yes,0
29.0,54056,33436,730,57,1,21.67,36,0.31,Master's,Unemployed,Married,No,No,Home,Yes,1
68.0,32480,46478,402,17,3,24.02,24,0.14,PhD,Unemployed,Married,Yes,Yes,Other,No,0
50.0,54980,83621,598,29,2,16.98,48,0.48,Master's,Self-employed,Divorced,Yes,Yes,Other,No,0
59.0,33572,159838,710,103,3,4.55,48,0.63,Bachelor's,Self-employed,Single,No,Yes,Other,No,0
23.0,99004,183592,623,75,1,16.21,48,0.5,High School,Unemployed,Single,Yes,Yes,Business,Yes,0
18.0,16397,221761,477,97,4,16.64,48,0.61,PhD,Full-time,Married,Yes,Yes,Home,No,0
42.0,139264,159969,787,72,4,20.02,48,0.32,Master's,Unemployed,Divorced,No,Yes,Other,No,1
62.0,133947,126115,327,2,3,14.57,24,0.15,Bachelor's,Full-time,Divorced,Yes,Yes,Education,Yes,0
30.0,115853,96154,693,35,1,11.36,48,0.64,Bachelor's,Self-employed,Divorced,Yes,No,Home,Yes,0
21.0,22247,176848,497,22,4,19.69,36,0.13,PhD,Self-employed,Married,Yes,Yes,Auto,Yes,0
29.0,68923,103810,379,83,3,22.84,12,0.82,High School,Part-time,Single,Yes,No,Home,Yes,1
22.0,128473,104194,338,87,1,14.92,36,0.26,PhD,Full-time,Divorced,Yes,No,Business,No,0
40.0,66994,37131,814,52,3,14.98,48,0.25,High School,Part-time,Single,Yes,No,Auto,No,0
30.0,110986,21929,517,9,4,17.02,48,0.86,PhD,Self-employed,Divorced,No,No,Auto,Yes,1
50.0,32034,53161,820,108,3,24.12,60,0.81,Master's,Full-time,Married,Yes,No,Other,Yes,0
67.0,107093,9769,689,54,4,14.81,12,0.6,Master's,Self-employed,Single,Yes,No,Education,Yes,0
51.0,72596,205092,449,34,4,18.11,60,0.24,High School,Self-employed,Divorced,Yes,Yes,Other,No,0
35.0,95000,51158,415,44,2,6.78,36,0.45,Bachelor's,Unemployed,Divorced,No,No,Other,No,1
49.0,60001,58428,600,47,4,19.94,36,0.64,PhD,Full-time,Single,Yes,No,Auto,Yes,0
18.0,108995,20798,791,58,1,24.21,60,0.34,Bachelor's,Unemployed,Married,No,No,Auto,No,0
27.0,97005,205838,494,76,3,19.41,60,0.47,Master's,Part-time,Divorced,No,No,Business,No,0
51.0,26231,99614,325,60,4,18.87,24,0.16,High School,Unemployed,Married,Yes,No,Business,Yes,1
53.0,38470,141376,622,6,2,19.92,12,0.31,Master's,Self-employed,Divorced,No,Yes,Education,Yes,1
48.0,107101,116018,613,18,2,22.8,24,0.79,High School,Part-time,Divorced,No,No,Education,No,1
26.0,33811,83566,332,19,1,24.78,36,0.1,PhD,Full-time,Single,Yes,No,Other,No,1
25.0,75962,164143,842,60,3,12.02,48,0.69,Master's,Self-employed,Divorced,Yes,No,Auto,Yes,1
59.0,32651,45334,320,111,1,6.68,60,0.68,PhD,Unemployed,Married,No,Yes,Business,Yes,0
22.0,132727,62622,675,40,2,24.87,60,0.55,Bachelor's,Unemployed,Single,Yes,Yes,Auto,Yes,0
62.0,90476,53093,659,32,4,18.81,12,0.19,Bachelor's,Part-time,Married,No,No,Auto,No,1
33.0,120191,171300,556,108,4,21.43,24,0.68,High School,Part-time,Married,No,No,Business,Yes,0
22.0,142085,207093,469,95,2,9.28,36,0.27,High School,Unemployed,Divorced,Yes,No,Home,No,1
45.0,67955,196808,806,18,4,8.4,12,0.8,Master's,Unemployed,Married,Yes,No,Education,No,0
49.0,136941,137609,371,104,3,19.26,48,0.89,High School,Self-employed,Married,Yes,No,Home,No,1
36.0,62933,15677,729,38,3,19.64,60,0.54,High School,Part-time,Single,No,No,Other,No,0
63.0,34897,39865,524,75,2,10.35,48,0.32,Bachelor's,Self-employed,Single,No,Yes,Education,Yes,0
34.0,132168,189955,710,89,1,18.91,36,0.13,PhD,Full-time,Single,No,Yes,Auto,Yes,0
34.0,149413,162436,593,99,4,3.8,48,0.13,High School,Self-employed,Single,Yes,Yes,Education,No,0
25.0,72849,119479,736,1,2,2.43,60,0.63,Bachelor's,Unemployed,Single,No,Yes,Education,Yes,1
43.0,54987,115032,449,86,4,2.07,48,0.67,High School,Self-employed,Married,No,No,Education,Yes,1
68.0,71563,8354,665,15,4,5.82,12,0.71,Master's,Self-employed,Divorced,Yes,No,Business,Yes,0
44.0,149739,177725,789,39,4,3.63,60,0.6,PhD,Full-time,Single,No,Yes,Auto,No,0
56.0,56160,154376,586,66,2,12.54,36,0.73,Master's,Full-time,Married,No,No,Education,No,0
51.0,35146,64442,586,49,4,8.8,24,0.65,Bachelor's,Full-time,Married,No,Yes,Auto,Yes,1
38.0,37626,104946,529,2,3,19.6,60,0.13,PhD,Part-time,Married,Yes,No,Home,Yes,1
57.0,51473,45769,742,35,2,9.43,12,0.12,Master's,Full-time,Divorced,No,No,Auto,No,0
18.0,55160,19025,753,68,3,10.16,12,0.81,Master's,Unemployed,Married,Yes,Yes,Home,No,1
34.0,72894,35730,462,10,4,6.24,12,0.34,PhD,Unemployed,Single,No,Yes,Business,No,1
28.0,73391,80467,482,102,2,3.51,12,0.33,Bachelor's,Part-time,Divorced,Yes,Yes,Business,Yes,0
48.0,83469,230412,497,25,1,22.11,24,0.16,Bachelor's,Full-time,Single,No,No,Business,Yes,1
29.0,18841,110283,515,115,4,23.64,60,0.86,Master's,Unemployed,Single,Yes,Yes,Auto,Yes,1
